i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-006-thin-workflows-testable-modules.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-007-memory-first-architecture.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-008-protocol-automation-lifecycle-hooks.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-009-parallel-safe-multi-agent-design.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-010-quality-gates-evaluator-optimizer.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-011-session-state-mcp.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-012-skill-catalog-mcp.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-013-agent-orchestration-mcp.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-014-distributed-handoff-architecture.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-015-artifact-storage-minimization.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-016-workflow-execution-optimization.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-017-tiered-memory-index-architecture.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-018-cache-invalidation-strategy.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-019-script-organization.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-020-feature-request-review-step.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-021-model-routing-strategy.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-022-architecture-governance-split-criteria.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-023-quality-gate-prompt-testing.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-024-github-actions-runner-selection.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-025-github-actions-arm-runners.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-026-pr-automation-concurrency-and-safety.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-027-github-mcp-agent-isolation.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-028-powershell-output-schema-consistency.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-029-skill-file-line-ending-normalization.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/architecture/ADR-030-skills-pattern-superiority.md
